year,region_a_value,region_b_value,difference_value
2000,14.925018477370381,14.78253705043718,0.14248142693320176
2001,15.083038377953768,14.918694155552272,0.16434422240149615
2002,14.95901689904253,14.703599635949395,0.2554172630931344
2003,15.053399834329541,15.28874260788137,-0.2353427735518281
2004,15.129192408227395,15.055530786932783,0.07366162129461173
2005,15.281487371499821,15.085039769624075,0.1964476018757466
2006,15.067420313592642,15.252011118759494,-0.18459080516685233
2007,15.257620472287105,15.051960744877848,0.2056597274092571
2008,15.226960916101419,15.37417073277581,-0.14720981667439048
2009,15.219327642754859,15.380212640343773,-0.16088499758891395
2010,15.30111305409136,15.556544818250464,-0.25543176415910374
2011,15.077415913238909,15.536038311034726,-0.4586223977958177
2012,15.480586505687278,15.257293525515733,0.22329298017154464
2013,15.572591519642188,15.605971800249883,-0.0333802806076946
2014,15.351463493063163,15.258757172943367,0.0927063201197953
2015,15.414206738257805,15.456453560103716,-0.04224682184591089
2016,15.472227046729865,15.281776590441327,0.19045045628853785
2017,15.702546657385959,15.588620676863465,0.11392598052249348
2018,15.51144997808646,15.556308851744403,-0.044858873657942056
2019,15.75023863700609,15.787408864057891,-0.037170227051801064
2020,15.537068870377254,15.657902612147423,-0.12083374177016815
2021,15.58721967162361,15.567577714835755,0.019641956787854298
2022,15.514398277012319,15.75167082548965,-0.23727254847733192
2023,15.897922917961141,15.84806177731113,0.04986114065001068
2024,15.424330556113906,15.749840881418669,-0.3255103253047622
